ID_entrada,VIP,rango_etario,fecha,día_semana,hora_ingreso
386,False,Adulto Mayor,01/12/2024,Domingo,11:31
388,True,Adulto,18/11/2024,Lunes,10:15
391,False,Adulto,16/08/2024,Viernes,12:35
393,False,Adulto,16/12/2024,Lunes,11:16
395,True,Niño,15/10/2024,Martes,17:13
398,True,Niño,29/12/2024,Domingo,16:23
400,True,Adulto Mayor,04/10/2024,Viernes,13:56
401,True,Adulto Mayor,15/08/2024,Jueves,10:40
402,False,Adulto Mayor,23/12/2024,Lunes,13:51
403,False,Niño,09/11/2024,Sábado,12:13
404,False,Niño,30/09/2024,Lunes,16:48
407,True,Adulto,05/09/2024,Jueves,10:29
410,False,Adulto Mayor,07/11/2024,Jueves,09:31
412,False,Adulto Mayor,01/11/2024,Viernes,16:28
413,False,Adulto Mayor,04/11/2024,Lunes,14:33
414,True,Niño,14/09/2024,Sábado,10:27
417,False,Niño,16/10/2024,Miércoles,13:14
419,False,Adulto,27/12/2024,Viernes,14:08
421,False,Adulto,07/10/2024,Lunes,13:20
422,True,Adulto,28/08/2024,Miércoles,13:31
423,True,Adulto Mayor,31/10/2024,Jueves,10:15
428,True,Adulto Mayor,15/08/2024,Jueves,13:23
430,False,Niño,29/11/2024,Viernes,10:15
431,False,Adulto Mayor,13/12/2024,Viernes,11:47
434,False,Adulto,11/10/2024,Viernes,17:16
438,True,Adulto,01/10/2024,Martes,15:48
441,True,Adulto Mayor,23/08/2024,Viernes,13:22
444,False,Adulto Mayor,31/08/2024,Sábado,13:49
447,False,Niño,16/12/2024,Lunes,17:04
449,False,Adulto Mayor,09/11/2024,Sábado,10:31
451,True,Adulto Mayor,29/12/2024,Domingo,15:52
453,False,Adulto,16/09/2024,Lunes,13:35
454,False,Niño,16/08/2024,Viernes,17:05
455,True,Adulto,22/12/2024,Domingo,17:20
460,False,Adulto Mayor,20/10/2024,Domingo,14:30
461,True,Adulto,28/10/2024,Lunes,13:09
462,False,Niño,19/11/2024,Martes,15:46
463,False,Adulto Mayor,06/10/2024,Domingo,14:17
465,False,Niño,07/10/2024,Lunes,14:53
468,True,Adulto Mayor,19/12/2024,Jueves,10:01
471,False,Niño,27/12/2024,Viernes,14:20
472,False,Adulto Mayor,10/09/2024,Martes,13:56
474,False,Niño,13/11/2024,Miércoles,16:39
475,True,Niño,24/10/2024,Jueves,15:42
476,False,Adulto,29/11/2024,Viernes,09:40
477,True,Adulto,26/08/2024,Lunes,16:32
479,True,Adulto Mayor,09/11/2024,Sábado,14:49
483,False,Niño,12/09/2024,Jueves,14:25
487,False,Niño,06/09/2024,Viernes,15:10
488,True,Adulto,01/10/2024,Martes,15:25
489,False,Niño,03/12/2024,Martes,13:21
492,False,Niño,08/10/2024,Martes,12:01
493,False,Adulto Mayor,19/11/2024,Martes,10:06
500,False,Adulto,07/12/2024,Sábado,11:21
503,True,Adulto Mayor,01/12/2024,Domingo,16:22
504,False,Adulto Mayor,21/08/2024,Miércoles,17:18
505,True,Niño,07/10/2024,Lunes,14:21
508,True,Adulto,14/11/2024,Jueves,16:44
509,False,Niño,05/11/2024,Martes,14:16
511,False,Niño,22/11/2024,Viernes,10:15
513,False,Adulto Mayor,07/11/2024,Jueves,16:21
515,True,Niño,19/11/2024,Martes,15:33
518,True,Niño,20/10/2024,Domingo,13:47
519,True,Niño,29/11/2024,Viernes,15:14
521,True,Adulto,26/09/2024,Jueves,10:21
526,False,Adulto,27/09/2024,Viernes,10:19
530,True,Adulto,21/08/2024,Miércoles,14:55
532,True,Adulto Mayor,02/12/2024,Lunes,14:27
533,False,Niño,14/12/2024,Sábado,11:25
537,True,Niño,17/09/2024,Martes,11:03
539,True,Niño,20/10/2024,Domingo,10:21
540,False,Adulto,11/12/2024,Miércoles,14:05
541,False,Adulto Mayor,04/10/2024,Viernes,13:06
550,True,Adulto,25/11/2024,Lunes,13:19
552,False,Adulto,28/10/2024,Lunes,17:22
553,True,Niño,23/12/2024,Lunes,13:27
555,False,Adulto Mayor,04/10/2024,Viernes,13:53
557,False,Adulto Mayor,30/08/2024,Viernes,11:14
561,True,Adulto,17/12/2024,Martes,12:16
564,True,Adulto,26/08/2024,Lunes,11:39
567,True,Niño,11/12/2024,Miércoles,15:47
570,False,Adulto Mayor,19/09/2024,Jueves,14:41
571,False,Niño,05/09/2024,Jueves,16:56
573,False,Adulto Mayor,30/10/2024,Miércoles,12:14
574,True,Adulto Mayor,05/12/2024,Jueves,17:28
576,False,Adulto,13/12/2024,Viernes,14:00
578,True,Adulto,18/10/2024,Viernes,13:27
580,True,Adulto,17/12/2024,Martes,11:37
582,False,Adulto,01/09/2024,Domingo,10:34
583,False,Niño,28/09/2024,Sábado,11:10
584,False,Adulto,15/12/2024,Domingo,10:19
587,False,Adulto,03/12/2024,Martes,10:57
588,False,Adulto Mayor,02/09/2024,Lunes,13:55
591,True,Adulto Mayor,17/11/2024,Domingo,15:24
595,False,Adulto Mayor,28/10/2024,Lunes,11:36
599,True,Niño,30/11/2024,Sábado,14:24
