ID_entrada,ID_habitat,satisfaccion
241.0,H018,NULL
241.0,H018,2.0
241.0,H018,5.0
242.0,H002,4.0
244.0,H014,4.0
244.0,H008,3.0
245.0,H006,3.0
246.0,H002,2.0
246.0,H003,4.0
246.0,H003,5.0
247.0,H003,2.0
247.0,H013,2.0
249.0,H002,2.0
251.0,H001,1.0
251.0,H017,NULL
252.0,H002,4.0
253.0,H017,4.0
254.0,H002,NULL
254.0,H014,4.0
254.0,H014,2.0
255.0,H005,2.0
257.0,H006,5.0
259.0,H014,5.0
260.0,NULL,4.0
261.0,H002,5.0
261.0,H008,3.0
262.0,H002,3.0
262.0,H002,3.0
263.0,H007,5.0
263.0,H014,2.0
264.0,H007,5.0
265.0,H006,3.0
266.0,H018,2.0
269.0,H014,3.0
269.0,H018,NULL
270.0,H002,3.0
271.0,H016,4.0
274.0,H018,4.0
276.0,NULL,2.0
276.0,H014,1.0
276.0,H011,2.0
276.0,H014,1.0
276.0,H003,5.0
277.0,H007,4.0
278.0,H002,5.0
278.0,H003,5.0
279.0,H011,3.0
281.0,H011,5.0
281.0,H006,1.0
281.0,H009,5.0
282.0,H017,4.0
283.0,NULL,4.0
283.0,H003,1.0
287.0,H005,4.0
288.0,H018,3.0
288.0,NULL,5.0
289.0,H004,1.0
290.0,H002,4.0
291.0,H004,NULL
291.0,H014,2.0
291.0,H016,4.0
291.0,H011,1.0
292.0,H012,2.0
292.0,H002,2.0
292.0,H001,4.0
293.0,H001,1.0
294.0,H002,5.0
296.0,H003,5.0
296.0,H007,3.0
296.0,H004,3.0
297.0,H002,NULL
300.0,H002,NULL
300.0,H018,3.0
301.0,H001,4.0
302.0,H009,2.0
302.0,H016,5.0
304.0,H018,NULL
305.0,H018,NULL
306.0,H003,3.0
306.0,H004,3.0
307.0,H002,1.0
309.0,H002,2.0
309.0,H002,3.0
309.0,H018,3.0
310.0,H010,3.0
310.0,H008,2.0
311.0,NULL,3.0
312.0,H002,NULL
313.0,H016,3.0
314.0,NULL,1.0
314.0,NULL,4.0
316.0,H002,1.0
317.0,H018,5.0
317.0,H016,4.0
318.0,H014,1.0
319.0,H017,5.0
320.0,H015,3.0
322.0,H002,NULL
322.0,H016,2.0
322.0,NULL,4.0
324.0,H008,4.0
324.0,H003,5.0
325.0,H011,3.0
326.0,H007,NULL
326.0,H018,4.0
327.0,H004,1.0
327.0,H014,2.0
330.0,H008,2.0
330.0,H008,3.0
331.0,H003,5.0
331.0,H010,2.0
332.0,H014,5.0
332.0,H018,4.0
333.0,H016,2.0
334.0,H009,1.0
335.0,H011,5.0
335.0,H002,4.0
336.0,H011,NULL
336.0,H010,3.0
337.0,H016,1.0
337.0,H010,3.0
338.0,H002,4.0
338.0,H014,4.0
339.0,H002,3.0
339.0,H003,5.0
340.0,H007,2.0
341.0,H002,1.0
341.0,H010,4.0
341.0,H018,1.0
344.0,H005,3.0
344.0,H018,5.0
345.0,H012,5.0
345.0,H002,1.0
348.0,H018,4.0
349.0,H006,3.0
349.0,H006,1.0
350.0,H014,5.0
350.0,H003,4.0
351.0,H009,4.0
351.0,H002,4.0
353.0,H011,4.0
354.0,NULL,3.0
355.0,H003,4.0
356.0,NULL,4.0
357.0,H012,3.0
357.0,H004,4.0
360.0,H018,1.0
361.0,H003,2.0
361.0,H015,3.0
362.0,H018,5.0
363.0,H014,1.0
363.0,H011,1.0
363.0,H006,4.0
368.0,H012,3.0
368.0,H014,1.0
369.0,H014,5.0
369.0,H018,3.0
369.0,NULL,2.0
369.0,H018,1.0
370.0,NULL,4.0
373.0,H015,4.0
374.0,H018,1.0
374.0,H011,4.0
374.0,H008,5.0
376.0,H015,2.0
376.0,H006,3.0
376.0,H003,5.0
377.0,H014,5.0
377.0,H016,1.0
377.0,H018,2.0
378.0,H003,NULL
379.0,H018,3.0
380.0,NULL,3.0
380.0,NULL,2.0
381.0,H014,4.0
381.0,H002,1.0
382.0,H018,3.0
383.0,H017,1.0
384.0,H003,4.0
384.0,H008,4.0
386.0,H001,5.0
386.0,H008,1.0
387.0,H003,4.0
387.0,H003,4.0
388.0,H001,4.0
388.0,NULL,4.0
388.0,H009,3.0
390.0,H018,5.0
390.0,H007,3.0
390.0,H011,5.0
392.0,H003,3.0
392.0,NULL,3.0
393.0,H001,4.0
394.0,H017,1.0
394.0,H007,5.0
395.0,H009,4.0
396.0,H013,5.0
396.0,NULL,5.0
397.0,H018,2.0
399.0,H009,1.0
400.0,H005,1.0
400.0,H015,3.0
401.0,H002,1.0
401.0,H014,2.0
402.0,H002,4.0
403.0,H015,1.0
404.0,H014,1.0
404.0,NULL,3.0
405.0,H014,2.0
406.0,H014,1.0
406.0,H002,4.0
409.0,H011,5.0
409.0,H008,1.0
410.0,H002,3.0
411.0,H008,NULL
412.0,H005,5.0
412.0,H005,4.0
414.0,H018,NULL
415.0,H005,1.0
415.0,H017,4.0
415.0,H002,4.0
417.0,H003,3.0
419.0,H014,4.0
420.0,NULL,4.0
420.0,H017,2.0
422.0,H018,2.0
422.0,H018,3.0
423.0,H001,3.0
423.0,H002,2.0
425.0,H007,3.0
425.0,H005,1.0
427.0,H016,5.0
427.0,H017,1.0
427.0,H006,2.0
430.0,H008,1.0
433.0,H017,5.0
435.0,H014,1.0
435.0,H005,3.0
436.0,H014,3.0
436.0,NULL,4.0
440.0,H002,3.0
441.0,H013,5.0
442.0,H001,4.0
442.0,H002,4.0
443.0,H010,5.0
443.0,H006,4.0
445.0,H011,3.0
445.0,H011,2.0
446.0,H018,4.0
447.0,H002,1.0
447.0,H018,2.0
449.0,H007,4.0
449.0,H011,3.0
453.0,H007,4.0
455.0,H002,3.0
455.0,H018,2.0
455.0,H018,NULL
456.0,H002,4.0
457.0,H014,1.0
457.0,H012,NULL
458.0,H011,4.0
459.0,H009,1.0
460.0,H002,1.0
461.0,H005,3.0
461.0,H018,2.0
462.0,H018,2.0
463.0,H018,1.0
463.0,H018,1.0
464.0,NULL,NULL
465.0,NULL,5.0
465.0,H002,2.0
465.0,H011,1.0
465.0,H009,1.0
470.0,H002,NULL
470.0,NULL,3.0
472.0,H018,1.0
473.0,H002,3.0
475.0,H002,2.0
475.0,H012,4.0
476.0,H014,1.0
476.0,H018,4.0
476.0,H006,2.0
477.0,H014,1.0
477.0,H008,NULL
477.0,H003,4.0
479.0,H002,2.0
481.0,H007,4.0
482.0,H017,3.0
484.0,H003,5.0
486.0,H018,5.0
487.0,H009,1.0
487.0,H004,NULL
488.0,H018,5.0
488.0,H018,1.0
488.0,H002,2.0
490.0,H009,4.0
491.0,H018,2.0
491.0,H003,3.0
491.0,H014,2.0
492.0,H018,1.0
493.0,H017,2.0
493.0,H015,2.0
493.0,H011,5.0
493.0,H005,4.0
494.0,H017,5.0
495.0,H007,1.0
498.0,H018,5.0
498.0,NULL,1.0
499.0,H003,2.0
499.0,H005,2.0
500.0,H005,4.0
500.0,H002,3.0
501.0,H016,3.0
501.0,H018,2.0
501.0,H012,1.0
502.0,H014,1.0
502.0,H011,5.0
502.0,H002,NULL
503.0,H006,3.0
503.0,NULL,1.0
503.0,H005,3.0
506.0,H007,4.0
506.0,H005,3.0
506.0,H005,1.0
506.0,H014,NULL
507.0,H002,2.0
507.0,H008,1.0
508.0,H006,1.0
508.0,H018,3.0
509.0,H018,3.0
510.0,H018,4.0
511.0,H007,2.0
511.0,H018,2.0
511.0,H018,2.0
512.0,H015,3.0
513.0,H002,3.0
513.0,H018,3.0
514.0,H010,NULL
514.0,H005,1.0
515.0,H018,1.0
515.0,H004,4.0
516.0,H004,3.0
518.0,H014,1.0
518.0,H006,3.0
518.0,H003,4.0
519.0,H013,4.0
520.0,H003,3.0
521.0,H002,3.0
522.0,H017,NULL
522.0,H013,2.0
524.0,H003,5.0
529.0,H013,4.0
529.0,H003,3.0
529.0,H018,3.0
529.0,H008,1.0
530.0,H003,5.0
531.0,H018,1.0
532.0,H002,2.0
532.0,H014,4.0
535.0,H003,4.0
537.0,NULL,5.0
537.0,H017,3.0
539.0,H018,4.0
539.0,NULL,3.0
539.0,H013,2.0
539.0,H018,3.0
541.0,H004,5.0
543.0,H001,2.0
543.0,H014,2.0
544.0,NULL,5.0
545.0,H018,4.0
545.0,H002,1.0
547.0,H014,4.0
547.0,H015,1.0
547.0,H014,NULL
548.0,H018,5.0
550.0,H004,5.0
551.0,H002,NULL
551.0,H002,5.0
552.0,H005,2.0
552.0,H017,5.0
554.0,H017,NULL
555.0,H018,3.0
558.0,H005,3.0
559.0,H003,4.0
561.0,NULL,NULL
562.0,H002,1.0
562.0,H018,4.0
563.0,H007,5.0
564.0,H018,2.0
564.0,H015,3.0
565.0,H004,3.0
566.0,H002,2.0
567.0,H014,1.0
568.0,H002,2.0
570.0,H018,5.0
570.0,H006,5.0
571.0,H018,4.0
574.0,H006,4.0
574.0,NULL,4.0
577.0,H008,NULL
577.0,H014,3.0
578.0,H014,3.0
578.0,H009,1.0
578.0,H003,1.0
578.0,H007,2.0
579.0,H018,2.0
579.0,H013,2.0
581.0,H014,NULL
581.0,H003,4.0
581.0,H001,1.0
581.0,H007,3.0
582.0,H018,1.0
582.0,H003,2.0
582.0,H012,5.0
582.0,H017,2.0
583.0,H003,5.0
586.0,H003,3.0
586.0,NULL,3.0
586.0,H003,4.0
588.0,H002,3.0
588.0,H016,5.0
589.0,NULL,4.0
590.0,H018,4.0
590.0,H017,5.0
591.0,H003,4.0
592.0,H018,2.0
593.0,H018,1.0
593.0,H005,5.0
593.0,NULL,1.0
593.0,H005,3.0
594.0,H011,3.0
595.0,H007,3.0
597.0,H018,1.0
597.0,H018,3.0
597.0,H009,4.0
599.0,H014,1.0
NULL,H006,3.0
NULL,H012,2.0
NULL,H013,5.0
NULL,H011,3.0
NULL,H004,2.0
NULL,H018,NULL
NULL,H002,5.0
NULL,H005,5.0
NULL,H016,1.0
NULL,H004,2.0
NULL,H014,5.0
NULL,H005,4.0
NULL,H014,1.0
NULL,H011,1.0
NULL,H003,4.0
NULL,NULL,2.0
NULL,H014,NULL
NULL,H012,3.0
NULL,H005,3.0
NULL,H018,NULL
NULL,H002,2.0
NULL,H016,2.0
NULL,H011,2.0
NULL,H005,4.0
NULL,H018,2.0
NULL,H014,5.0
NULL,H006,3.0
NULL,H017,5.0
NULL,H008,1.0
NULL,H009,1.0
NULL,H011,1.0
NULL,H004,5.0
NULL,H003,1.0
NULL,H005,1.0
NULL,H015,5.0
NULL,H018,1.0
NULL,H002,2.0
NULL,NULL,5.0
NULL,H018,4.0
NULL,H013,4.0
NULL,H005,2.0
NULL,NULL,4.0
NULL,H002,2.0
NULL,NULL,5.0
NULL,H010,5.0
NULL,H011,5.0
NULL,NULL,3.0
NULL,H002,2.0
NULL,H011,5.0
NULL,H018,NULL
NULL,H017,4.0
NULL,H016,3.0
NULL,H011,3.0
NULL,H006,3.0
NULL,H018,4.0
NULL,NULL,2.0
